"","close","closem1","closem2","closem3","closem4","closem5"
"1",24.200001,24.200001,24.200001,24.200001,24.200001,24.200001
"2",23.9000005,24.200001,24.200001,24.200001,24.200001,24.200001
"3",23.6,23.9000005,24.200001,24.200001,24.200001,24.200001
"4",23.299999,23.6,23.9000005,24.200001,24.200001,24.200001
"5",23.049999,23.299999,23.6,23.9000005,24.200001,24.200001
"6",22.700001,23.049999,23.299999,23.6,23.9000005,24.200001
"7",22.48,22.700001,23.049999,23.299999,23.6,23.9000005
"8",22.91,22.48,22.700001,23.049999,23.299999,23.6
"9",23.42,22.91,22.48,22.700001,23.049999,23.299999
"10",23.82,23.42,22.91,22.48,22.700001,23.049999
"11",23.93,23.82,23.42,22.91,22.48,22.700001
"12",23.889999,23.93,23.82,23.42,22.91,22.48
"13",24.049999,23.889999,23.93,23.82,23.42,22.91
"14",23.469999,24.049999,23.889999,23.93,23.82,23.42
"15",23.700001,23.469999,24.049999,23.889999,23.93,23.82
"16",24.290001,23.700001,23.469999,24.049999,23.889999,23.93
"17",24.18,24.290001,23.700001,23.469999,24.049999,23.889999
"18",24.059999,24.18,24.290001,23.700001,23.469999,24.049999
"19",23.809999,24.059999,24.18,24.290001,23.700001,23.469999
"20",23.209999,23.809999,24.059999,24.18,24.290001,23.700001
"21",23.4,23.209999,23.809999,24.059999,24.18,24.290001
"22",23.889999,23.4,23.209999,23.809999,24.059999,24.18
"23",24.25,23.889999,23.4,23.209999,23.809999,24.059999
"24",24.459999,24.25,23.889999,23.4,23.209999,23.809999
"25",24.700001,24.459999,24.25,23.889999,23.4,23.209999
"26",24.700001,24.700001,24.459999,24.25,23.889999,23.4
"27",25.2250005,24.700001,24.700001,24.459999,24.25,23.889999
"28",25.75,25.2250005,24.700001,24.700001,24.459999,24.25
"29",25.799999,25.75,25.2250005,24.700001,24.700001,24.459999
"30",26.1,25.799999,25.75,25.2250005,24.700001,24.700001
"31",26.1,26.1,25.799999,25.75,25.2250005,24.700001
"32",26,26.1,26.1,25.799999,25.75,25.2250005
"33",26.58,26,26.1,26.1,25.799999,25.75
"34",27.049999,26.58,26,26.1,26.1,25.799999
"35",27.370001,27.049999,26.58,26,26.1,26.1
"36",27.190001,27.370001,27.049999,26.58,26,26.1
"37",27.48,27.190001,27.370001,27.049999,26.58,26
"38",27.4,27.48,27.190001,27.370001,27.049999,26.58
"39",27.299999,27.4,27.48,27.190001,27.370001,27.049999
"40",27.15,27.299999,27.4,27.48,27.190001,27.370001
"41",27.25,27.15,27.299999,27.4,27.48,27.190001
"42",27.4,27.25,27.15,27.299999,27.4,27.48
"43",26.790001,27.4,27.25,27.15,27.299999,27.4
"44",26.08,26.790001,27.4,27.25,27.15,27.299999
"45",26.389999,26.08,26.790001,27.4,27.25,27.15
"46",27.469999,26.389999,26.08,26.790001,27.4,27.25
"47",28,27.469999,26.389999,26.08,26.790001,27.4
"48",28.76,28,27.469999,26.389999,26.08,26.790001
"49",28,28.76,28,27.469999,26.389999,26.08
"50",27.75,28,28.76,28,27.469999,26.389999
"51",27.35,27.75,28,28.76,28,27.469999
"52",27.01,27.35,27.75,28,28.76,28
"53",27.57,27.01,27.35,27.75,28,28.76
"54",27.65,27.57,27.01,27.35,27.75,28
"55",28.07,27.65,27.57,27.01,27.35,27.75
"56",28.6,28.07,27.65,27.57,27.01,27.35
"57",28.65,28.6,28.07,27.65,27.57,27.01
"58",28.15,28.65,28.6,28.07,27.65,27.57
"59",28.549999,28.15,28.65,28.6,28.07,27.65
"60",28.629999,28.549999,28.15,28.65,28.6,28.07
"61",28.73,28.629999,28.549999,28.15,28.65,28.6
"62",28.85,28.73,28.629999,28.549999,28.15,28.65
"63",29.610001,28.85,28.73,28.629999,28.549999,28.15
"64",29,29.610001,28.85,28.73,28.629999,28.549999
"65",28.6,29,29.610001,28.85,28.73,28.629999
"66",28.879999,28.6,29,29.610001,28.85,28.73
"67",28.74,28.879999,28.6,29,29.610001,28.85
"68",28.66,28.74,28.879999,28.6,29,29.610001
"69",28.15,28.66,28.74,28.879999,28.6,29
"70",27.24,28.15,28.66,28.74,28.879999,28.6
"71",26.73,27.24,28.15,28.66,28.74,28.879999
"72",27.4,26.73,27.24,28.15,28.66,28.74
"73",27.32,27.4,26.73,27.24,28.15,28.66
"74",26.93,27.32,27.4,26.73,27.24,28.15
"75",26.360001,26.93,27.32,27.4,26.73,27.24
"76",25.950001,26.360001,26.93,27.32,27.4,26.73
"77",25.85,25.950001,26.360001,26.93,27.32,27.4
"78",25.719999,25.85,25.950001,26.360001,26.93,27.32
"79",24.200001,25.719999,25.85,25.950001,26.360001,26.93
"80",24.129999,24.200001,25.719999,25.85,25.950001,26.360001
"81",24.08,24.129999,24.200001,25.719999,25.85,25.950001
"82",24.23,24.08,24.129999,24.200001,25.719999,25.85
"83",24.59,24.23,24.08,24.129999,24.200001,25.719999
"84",25.18,24.59,24.23,24.08,24.129999,24.200001
"85",24.5,25.18,24.59,24.23,24.08,24.129999
"86",23.91,24.5,25.18,24.59,24.23,24.08
"87",23.379999,23.91,24.5,25.18,24.59,24.23
"88",23.76,23.379999,23.91,24.5,25.18,24.59
"89",23.83,23.76,23.379999,23.91,24.5,25.18
"90",24.1,23.83,23.76,23.379999,23.91,24.5
"91",23.780001,24.1,23.83,23.76,23.379999,23.91
"92",23.6,23.780001,24.1,23.83,23.76,23.379999
"93",23.040001,23.6,23.780001,24.1,23.83,23.76
"94",23.25,23.040001,23.6,23.780001,24.1,23.83
"95",23.540001,23.25,23.040001,23.6,23.780001,24.1
"96",23.58,23.540001,23.25,23.040001,23.6,23.780001
"97",22.940001,23.58,23.540001,23.25,23.040001,23.6
"98",22.6,22.940001,23.58,23.540001,23.25,23.040001
"99",22.66,22.6,22.940001,23.58,23.540001,23.25
"100",22.870001,22.66,22.6,22.940001,23.58,23.540001
"101",22.92,22.870001,22.66,22.6,22.940001,23.58
"102",22.35,22.92,22.870001,22.66,22.6,22.940001
"103",22.33,22.35,22.92,22.870001,22.66,22.6
"104",22.26,22.33,22.35,22.92,22.870001,22.66
"105",21.299999,22.26,22.33,22.35,22.92,22.870001
"106",20.52,21.299999,22.26,22.33,22.35,22.92
"107",20.4,20.52,21.299999,22.26,22.33,22.35
"108",19.4,20.4,20.52,21.299999,22.26,22.33
"109",20.15,19.4,20.4,20.52,21.299999,22.26
"110",21.370001,20.15,19.4,20.4,20.52,21.299999
"111",21.41,21.370001,20.15,19.4,20.4,20.52
"112",20.51,21.41,21.370001,20.15,19.4,20.4
"113",20.620001,20.51,21.41,21.370001,20.15,19.4
"114",20.799999,20.620001,20.51,21.41,21.370001,20.15
"115",20.610001,20.799999,20.620001,20.51,21.41,21.370001
"116",20.35,20.610001,20.799999,20.620001,20.51,21.41
"117",19.92,20.35,20.610001,20.799999,20.620001,20.51
"118",20,19.92,20.35,20.610001,20.799999,20.620001
"119",19.950001,20,19.92,20.35,20.610001,20.799999
"120",19.280001,19.950001,20,19.92,20.35,20.610001
"121",18.799999,19.280001,19.950001,20,19.92,20.35
"122",19.200001,18.799999,19.280001,19.950001,20,19.92
"123",19.219999,19.200001,18.799999,19.280001,19.950001,20
"124",19.4,19.219999,19.200001,18.799999,19.280001,19.950001
"125",19.4,19.4,19.219999,19.200001,18.799999,19.280001
"126",19.35,19.4,19.4,19.219999,19.200001,18.799999
"127",19,19.35,19.4,19.4,19.219999,19.200001
"128",19.190001,19,19.35,19.4,19.4,19.219999
"129",19.940001,19.190001,19,19.35,19.4,19.4
"130",20.76,19.940001,19.190001,19,19.35,19.4
"131",20.68,20.76,19.940001,19.190001,19,19.35
"132",20.49,20.68,20.76,19.940001,19.190001,19
"133",19.879999,20.49,20.68,20.76,19.940001,19.190001
"134",19.1,19.879999,20.49,20.68,20.76,19.940001
"135",18.65,19.1,19.879999,20.49,20.68,20.76
